Customer_Attrition,Gender,Marital_Status,Months_Inactive,Total_Transaction_Amount,Total_Transaction_Count
Attrited Customer,F,Single,2,2400,34
Existing Customer,M,Unknown,2,5265,98
Existing Customer,F,Married,2,4919,69
Existing Customer,M,Married,2,3785,64
Existing Customer,F,Married,1,5210,73
Existing Customer,M,Married,2,4293,87
Existing Customer,F,Married,2,4365,71
Existing Customer,F,Divorced,1,3864,64
Existing Customer,F,Divorced,2,4635,65
Existing Customer,F,Married,3,5495,87
Attrited Customer,F,Married,4,1552,32
Existing Customer,M,Single,2,4674,85
Existing Customer,M,Married,1,4386,63
Attrited Customer,F,Married,4,2107,39
Existing Customer,F,Single,1,3918,74
Existing Customer,F,Single,2,5774,84
Attrited Customer,F,Single,3,2434,45
Existing Customer,M,Single,1,4743,82
Existing Customer,M,Married,2,4800,61
Existing Customer,F,Married,1,5062,80
Existing Customer,F,Married,1,4833,73
Existing Customer,F,Married,5,4351,74
Attrited Customer,F,Single,3,2760,38
Existing Customer,F,Married,2,3635,79
Existing Customer,F,Single,2,3511,64
Existing Customer,F,Married,2,4321,83
Existing Customer,F,Married,3,4363,73
Existing Customer,F,Married,2,3299,63
Attrited Customer,M,Single,5,2460,39
Existing Customer,F,Married,2,4375,69
Existing Customer,F,Married,3,4725,85
Existing Customer,M,Single,2,4211,66
Existing Customer,F,Single,3,3691,69
Existing Customer,F,Single,2,4681,71
Existing Customer,F,Single,1,4284,73
Attrited Customer,F,Single,3,2590,50
Existing Customer,F,Married,1,4053,66
Attrited Customer,F,Married,2,2429,38
Existing Customer,M,Single,2,4173,77
Existing Customer,F,Married,2,4258,80
Existing Customer,F,Single,2,4773,80
Existing Customer,M,Divorced,3,3861,81
Existing Customer,F,Married,1,4155,62
Existing Customer,F,Single,1,4333,84
Existing Customer,F,Married,3,4721,81
Existing Customer,F,Single,3,3507,68
Existing Customer,F,Married,2,4408,79
Existing Customer,F,Single,3,5048,75
Existing Customer,F,Married,2,4683,89
Existing Customer,F,Married,3,5161,83
Attrited Customer,F,Married,2,2289,41
Attrited Customer,F,Married,3,2362,39
Existing Customer,F,Unknown,1,4650,71
Existing Customer,F,Married,3,4697,67
Attrited Customer,F,Divorced,2,1844,41
Existing Customer,F,Married,2,4420,86
Attrited Customer,M,Divorced,3,2073,44
Existing Customer,M,Unknown,3,2950,64
Existing Customer,F,Married,2,3822,68
Existing Customer,F,Married,1,4279,83
Existing Customer,F,Single,2,4981,79
Existing Customer,F,Married,2,4331,85
Existing Customer,M,Married,1,3358,62
Existing Customer,M,Married,3,3531,73
Existing Customer,F,Unknown,3,4798,82
Existing Customer,F,Unknown,2,4399,78
Existing Customer,M,Single,2,4564,65
Existing Customer,F,Married,2,4749,80
Existing Customer,F,Single,3,4578,70
Existing Customer,M,Married,2,4370,83
Existing Customer,F,Married,1,4045,62
Existing Customer,F,Married,2,4143,71
Existing Customer,F,Married,1,4030,78
Attrited Customer,F,Married,2,1788,36
Existing Customer,F,Unknown,1,4659,76
Existing Customer,F,Married,1,4838,71
Existing Customer,M,Married,3,4495,77
Attrited Customer,F,Single,3,1976,44
Existing Customer,F,Single,2,4457,84
Existing Customer,M,Single,3,3662,74
Existing Customer,F,Single,6,3804,67
Attrited Customer,M,Unknown,3,2593,48
Existing Customer,F,Single,2,4358,89
Existing Customer,M,Married,3,4097,70
Attrited Customer,F,Married,2,1852,38
Attrited Customer,F,Single,4,2133,44
Existing Customer,M,Single,3,3870,70
Existing Customer,F,Married,3,5201,82
Attrited Customer,F,Unknown,2,1935,40
Attrited Customer,F,Married,3,2443,38
Existing Customer,F,Married,2,4606,86
Attrited Customer,M,Divorced,2,2351,39
Attrited Customer,F,Single,3,2748,40
Existing Customer,F,Married,1,4892,85
Existing Customer,F,Married,1,3964,69
Existing Customer,F,Married,3,4802,91
Existing Customer,F,Single,1,4689,65
Attrited Customer,F,Single,4,2613,50
Existing Customer,F,Single,3,4161,71
Existing Customer,F,Divorced,2,4540,73
Existing Customer,F,Married,3,4917,84
Existing Customer,F,Single,2,4927,73
Existing Customer,F,Married,2,5125,85
Existing Customer,F,Married,1,4317,64
Existing Customer,F,Married,1,5219,63
Existing Customer,F,Divorced,1,3566,81
Attrited Customer,F,Married,5,2343,42
Existing Customer,F,Single,1,4130,80
Existing Customer,M,Single,3,4493,68
Existing Customer,F,Married,3,4083,68
Existing Customer,F,Married,2,3723,56
Existing Customer,M,Single,3,4160,75
Existing Customer,M,Single,1,4820,60
Existing Customer,F,Single,1,4894,89
Attrited Customer,F,Single,3,1939,49
Existing Customer,M,Married,3,4345,75
Existing Customer,F,Single,1,4176,76
Existing Customer,M,Married,3,4164,66
Attrited Customer,F,Married,2,2153,35
Existing Customer,M,Single,2,4700,71
Existing Customer,F,Unknown,3,3875,67
Attrited Customer,F,Divorced,2,1897,58
Existing Customer,F,Single,1,4099,74
Existing Customer,F,Married,3,4094,85
Attrited Customer,F,Divorced,6,2719,36
Existing Customer,M,Single,1,4517,79
Existing Customer,F,Married,1,4177,66
Existing Customer,M,Unknown,2,4330,72
Existing Customer,F,Married,3,4154,78
Existing Customer,F,Unknown,3,4643,86
Attrited Customer,F,Married,3,2182,40
Existing Customer,F,Single,2,3913,90
Attrited Customer,F,Single,3,2548,46
Existing Customer,M,Married,3,4853,85
Existing Customer,F,Married,4,4058,81
Existing Customer,M,Married,4,4347,63
Existing Customer,M,Single,4,3564,73
Attrited Customer,F,Married,3,2826,39
Existing Customer,F,Married,3,4702,85
Existing Customer,M,Divorced,2,4342,82
Attrited Customer,F,Married,2,3174,44
Existing Customer,M,Single,3,3732,71
Attrited Customer,F,Married,5,2526,41
Existing Customer,F,Married,2,4419,75
Existing Customer,F,Single,3,4943,85
Existing Customer,F,Married,3,5172,78
Existing Customer,F,Single,2,4133,78
Existing Customer,M,Married,2,4087,66
Existing Customer,F,Married,3,4172,65
Existing Customer,F,Divorced,3,5220,78
Existing Customer,F,Single,1,3797,75
Existing Customer,F,Unknown,2,4892,95
Attrited Customer,F,Married,3,2915,50
Existing Customer,F,Single,3,4803,72
Existing Customer,M,Married,1,4035,74
Existing Customer,F,Single,3,4301,79
Existing Customer,M,Single,5,3928,69
Attrited Customer,F,Married,3,1794,31
Existing Customer,F,Single,2,4724,66
Existing Customer,F,Single,3,4334,81
Existing Customer,M,Divorced,3,4814,71
Existing Customer,F,Single,2,4855,69
Attrited Customer,M,Married,2,2595,49
Existing Customer,F,Single,2,4247,84
Existing Customer,M,Divorced,2,3197,61
Attrited Customer,F,Married,4,2516,36
Existing Customer,F,Single,3,4835,84
Existing Customer,F,Married,3,4391,79
Existing Customer,F,Married,2,3837,75
Existing Customer,F,Unknown,1,3797,74
Existing Customer,M,Married,6,4537,75
Existing Customer,M,Married,1,4051,81
Existing Customer,F,Single,3,4205,65
Existing Customer,M,Married,3,4283,67
Existing Customer,M,Married,2,3915,66
Existing Customer,M,Single,2,4185,66
Existing Customer,M,Married,3,4960,97
Existing Customer,F,Married,3,4081,72
Attrited Customer,M,Married,2,2022,52
Existing Customer,M,Married,4,4726,64
Existing Customer,F,Single,3,4329,80
Existing Customer,F,Married,4,3399,66
Attrited Customer,F,Single,2,2645,60
Existing Customer,M,Married,2,4596,82
Existing Customer,M,Single,3,4561,78
Attrited Customer,F,Single,3,2086,47
Existing Customer,M,Single,1,3561,57
Existing Customer,M,Married,3,3828,65
Existing Customer,M,Married,3,4446,86
Existing Customer,F,Single,2,4253,83
Existing Customer,M,Married,2,4391,85
Existing Customer,M,Married,3,3792,78
Attrited Customer,M,Married,3,2802,52
Existing Customer,F,Unknown,1,4121,83
Existing Customer,F,Married,3,4754,78
Existing Customer,F,Married,1,4465,82
Existing Customer,F,Single,2,4997,79
Attrited Customer,F,Single,4,1895,42
Existing Customer,F,Single,2,4678,74
Existing Customer,F,Married,1,4817,81
Existing Customer,M,Married,3,4109,69
Attrited Customer,F,Married,2,2500,44
Existing Customer,F,Single,3,3837,74
Existing Customer,M,Married,2,4345,72
Existing Customer,F,Unknown,2,4384,80
Existing Customer,M,Married,1,4136,69
Existing Customer,F,Married,2,4863,87
Attrited Customer,F,Married,3,2618,29
Existing Customer,F,Single,1,4723,78
Existing Customer,F,Single,3,4458,87
Attrited Customer,M,Unknown,4,2225,45
Existing Customer,F,Divorced,3,4402,91
Attrited Customer,M,Married,3,2586,44
Existing Customer,F,Single,3,4796,85
Existing Customer,F,Married,2,4604,86
Existing Customer,M,Single,3,3882,90
Existing Customer,F,Single,2,4467,69
Attrited Customer,F,Married,4,2312,37
Existing Customer,F,Married,1,4283,76
Existing Customer,F,Unknown,1,4437,64
Attrited Customer,F,Married,3,2682,47
Existing Customer,M,Single,3,3862,76
Existing Customer,F,Married,6,5074,81
Existing Customer,F,Single,1,5192,70
Attrited Customer,F,Single,2,2200,45
Existing Customer,F,Married,3,4322,85
Existing Customer,F,Single,1,4919,83
Existing Customer,F,Single,3,4353,80
Existing Customer,M,Divorced,3,4250,81
Existing Customer,F,Divorced,2,4459,72
Existing Customer,F,Single,1,4108,82
Attrited Customer,M,Single,4,2185,41
Existing Customer,M,Married,1,4245,76
Existing Customer,M,Unknown,3,4339,77
Existing Customer,F,Divorced,3,4210,81
Attrited Customer,M,Single,2,2243,44
Existing Customer,F,Married,1,4610,65
Existing Customer,F,Married,4,3848,66
Existing Customer,M,Married,3,4442,83
Attrited Customer,F,Single,2,2596,39
Existing Customer,F,Single,3,4569,79
Existing Customer,M,Single,2,4167,74
Existing Customer,F,Married,2,4519,82
Existing Customer,M,Single,2,3855,63
Existing Customer,F,Single,1,4731,82
Existing Customer,M,Married,3,4583,76
Existing Customer,F,Married,3,4344,73
Existing Customer,F,Married,1,4434,73
Attrited Customer,F,Single,0,2288,48
Existing Customer,F,Single,2,4984,75
Existing Customer,F,Married,3,4002,67
Existing Customer,F,Divorced,3,4093,84
Attrited Customer,F,Married,3,2132,37
Existing Customer,F,Single,2,3853,76
Existing Customer,M,Single,3,4946,73
Existing Customer,F,Single,3,4501,68
Existing Customer,F,Single,3,4440,79
Existing Customer,M,Married,3,4683,76
Existing Customer,M,Married,2,4581,60
Existing Customer,F,Married,1,4489,58
Existing Customer,F,Married,2,4127,71
Attrited Customer,M,Single,4,1777,37
Existing Customer,F,Married,3,4453,84
Attrited Customer,F,Single,3,2740,47
Attrited Customer,F,Married,3,2510,47
Attrited Customer,F,Married,3,2201,39
Existing Customer,M,Single,2,3193,69
Existing Customer,M,Married,2,4875,97
Existing Customer,F,Single,2,4173,82
Existing Customer,M,Single,3,4558,62
Existing Customer,F,Single,3,3735,73
Existing Customer,M,Single,2,4329,61
Existing Customer,F,Married,2,4191,77
Existing Customer,F,Married,3,4318,74
Existing Customer,M,Married,1,4634,69
Existing Customer,M,Single,2,4821,77
Existing Customer,F,Single,2,4269,78
Existing Customer,F,Married,1,4208,75
Existing Customer,M,Married,6,3572,73
Existing Customer,F,Married,3,5120,74
Existing Customer,M,Married,3,3723,53
Attrited Customer,F,Single,3,2092,42
Attrited Customer,F,Married,6,1702,36
Existing Customer,F,Single,3,4608,84
Attrited Customer,F,Married,2,2160,46
Existing Customer,F,Married,2,4914,60
Existing Customer,M,Married,3,3982,68
Attrited Customer,M,Married,3,2784,49
Existing Customer,F,Single,3,4885,86
Existing Customer,M,Single,1,3730,67
Existing Customer,F,Married,4,4252,78
Existing Customer,M,Single,3,4070,74
Existing Customer,F,Single,3,3576,55
Existing Customer,F,Married,2,4530,69
Existing Customer,F,Single,2,4188,68
Existing Customer,M,Single,3,4382,82
Existing Customer,F,Married,3,4580,74
Existing Customer,M,Married,3,4683,91
Existing Customer,F,Unknown,3,4586,79
Existing Customer,M,Single,3,4042,78
Existing Customer,M,Married,2,4323,77
Existing Customer,F,Divorced,2,4592,78
Attrited Customer,F,Married,3,2693,56
Existing Customer,M,Married,3,4813,77
Existing Customer,F,Married,6,4804,78
Existing Customer,M,Single,1,4401,87
Existing Customer,F,Married,2,4761,81
Existing Customer,M,Single,1,5293,88
Existing Customer,F,Divorced,2,3922,75
Existing Customer,F,Single,0,4734,75
Attrited Customer,F,Married,2,1998,36
Attrited Customer,F,Married,3,2400,41
Attrited Customer,F,Divorced,3,2355,47
Existing Customer,F,Divorced,1,4495,77
Existing Customer,F,Married,1,4763,76
Existing Customer,F,Married,3,3981,76
Existing Customer,M,Single,3,5187,89
Existing Customer,F,Single,1,5104,85
Existing Customer,F,Single,3,4623,65
Existing Customer,F,Married,3,5173,78
Existing Customer,F,Married,1,4460,79
Existing Customer,F,Unknown,1,4620,81
Existing Customer,F,Divorced,1,4742,90
Existing Customer,F,Divorced,1,4421,79
Attrited Customer,M,Single,3,1989,47
Existing Customer,M,Married,3,4436,79
Existing Customer,F,Married,3,4915,92
Existing Customer,F,Unknown,3,4671,61
Existing Customer,F,Married,2,5232,78
Existing Customer,F,Married,2,4141,87
Attrited Customer,F,Married,6,2615,37
Existing Customer,M,Single,3,4749,82
Existing Customer,F,Married,2,4396,70
Existing Customer,F,Married,1,4239,78
Existing Customer,F,Married,2,4226,77
Existing Customer,F,Married,3,4360,78
Existing Customer,F,Divorced,3,4507,86
Existing Customer,M,Married,3,4812,85
Existing Customer,F,Single,1,5055,68
Attrited Customer,M,Single,3,2619,41
Existing Customer,M,Single,2,5047,64
Existing Customer,F,Married,3,4288,69
Attrited Customer,F,Married,2,2907,45
Existing Customer,M,Married,3,4927,70
Existing Customer,F,Divorced,1,4264,76
Existing Customer,F,Single,2,4666,74
Existing Customer,F,Married,1,5103,83
Existing Customer,F,Single,2,3940,82
Existing Customer,F,Married,2,4015,77
Existing Customer,F,Divorced,1,4715,86
Attrited Customer,F,Single,4,1930,41
Existing Customer,M,Divorced,2,4695,73
Existing Customer,F,Married,2,4039,50
Existing Customer,F,Married,3,4166,71
Attrited Customer,F,Single,2,2392,44
Existing Customer,F,Divorced,3,4792,81
Existing Customer,F,Single,3,4817,77
Existing Customer,F,Single,2,4535,82
Attrited Customer,M,Married,4,2239,47
Existing Customer,F,Married,1,5238,82
Existing Customer,M,Divorced,3,4453,75
Existing Customer,F,Divorced,6,4918,81
Existing Customer,M,Married,3,3659,76
Existing Customer,M,Single,1,4518,79
Existing Customer,F,Married,1,4279,75
Existing Customer,M,Single,1,4711,77
Existing Customer,F,Married,3,4431,89
Existing Customer,M,Married,2,3621,83
Existing Customer,M,Unknown,3,4484,81
Existing Customer,F,Single,3,4655,66
Existing Customer,F,Married,1,4705,77
Existing Customer,F,Unknown,1,4037,83
Existing Customer,F,Single,3,4748,74
Existing Customer,F,Married,2,4656,80
Existing Customer,F,Single,2,4296,68
Existing Customer,F,Married,1,2245,47
Existing Customer,F,Married,1,4284,85
Existing Customer,F,Married,1,4506,80
Attrited Customer,F,Married,2,2108,55
Existing Customer,M,Single,1,4042,78
Existing Customer,F,Single,3,4541,60
Existing Customer,F,Married,2,4977,88
Existing Customer,F,Single,2,4899,62
Existing Customer,M,Single,3,3532,72
Existing Customer,M,Single,4,4082,82
Existing Customer,F,Single,2,4388,66
Existing Customer,F,Single,3,4727,83
Existing Customer,F,Single,3,4621,71
Existing Customer,F,Single,1,4538,82
Attrited Customer,F,Married,3,2418,57
Existing Customer,M,Unknown,3,3480,62
Existing Customer,F,Married,2,4337,81
Existing Customer,M,Married,3,5389,84
Existing Customer,F,Single,1,3876,67
Attrited Customer,F,Married,3,2212,43
Existing Customer,F,Single,1,5108,78
Existing Customer,F,Married,5,4100,82
Existing Customer,M,Single,2,4277,59
Existing Customer,F,Married,2,4683,87
Existing Customer,F,Divorced,2,4106,81
Existing Customer,F,Single,3,3807,61
Existing Customer,F,Married,2,4085,69
Existing Customer,F,Married,1,4022,65
Attrited Customer,F,Married,3,2598,47
Existing Customer,F,Unknown,1,4858,73
Existing Customer,F,Married,2,4299,59
Existing Customer,F,Married,2,4621,73
Existing Customer,F,Married,3,4548,76
Existing Customer,F,Married,3,4665,89
Existing Customer,M,Single,2,3565,83
Attrited Customer,F,Married,3,2196,35
Existing Customer,F,Married,1,4302,74
Attrited Customer,F,Single,2,2372,44
Existing Customer,F,Single,3,3616,68
Attrited Customer,F,Single,2,2703,56
Existing Customer,F,Married,3,4257,89
Existing Customer,M,Single,2,4342,87
Attrited Customer,F,Single,2,2493,42
Existing Customer,F,Single,2,4868,76
Existing Customer,F,Unknown,3,4808,87
Existing Customer,F,Unknown,2,4129,68
Attrited Customer,F,Unknown,3,2538,49
Existing Customer,F,Single,3,4970,85
Existing Customer,M,Married,1,4784,69
Attrited Customer,F,Divorced,3,2003,43
Existing Customer,M,Married,3,4190,74
Existing Customer,F,Unknown,1,5182,78
Existing Customer,F,Single,3,4167,86
Existing Customer,F,Married,1,4483,72
Existing Customer,M,Married,1,3915,72
Existing Customer,F,Unknown,3,4748,88
Attrited Customer,M,Married,3,2724,38
Existing Customer,M,Married,1,3528,61
Attrited Customer,F,Single,4,2207,41
Attrited Customer,F,Married,3,2030,37
Existing Customer,F,Single,2,4893,76
Attrited Customer,F,Single,3,2709,54
Existing Customer,F,Unknown,2,4351,86
Existing Customer,F,Single,2,4665,67
Existing Customer,F,Married,3,4120,77
Existing Customer,M,Single,3,4135,76
Existing Customer,F,Single,2,3768,59
Existing Customer,F,Single,2,4670,77
Attrited Customer,F,Single,3,2037,31
Existing Customer,M,Single,3,4965,74
Attrited Customer,F,Single,1,1903,44
Existing Customer,F,Married,2,4346,70
Existing Customer,M,Divorced,3,4084,72
Attrited Customer,F,Single,3,2560,59
Existing Customer,F,Single,2,4751,80
Existing Customer,F,Single,2,4667,83
Attrited Customer,F,Married,2,2500,47
Existing Customer,F,Single,2,4289,71
Existing Customer,F,Married,2,4244,53
Existing Customer,F,Divorced,3,4624,75
Existing Customer,F,Single,2,4303,89
Existing Customer,F,Married,2,5097,82
Existing Customer,F,Married,1,3746,81
Existing Customer,F,Single,3,4830,79
Existing Customer,F,Single,1,4674,67
Existing Customer,F,Divorced,3,4900,81
Existing Customer,M,Married,3,4119,70
Existing Customer,F,Single,2,4576,83
Existing Customer,F,Married,1,4476,79
Attrited Customer,F,Married,3,2447,41
Existing Customer,F,Married,1,4800,70
Existing Customer,M,Married,3,4336,66
Existing Customer,M,Married,3,3063,57
Existing Customer,F,Unknown,1,4816,79
Existing Customer,F,Married,2,4479,82
Attrited Customer,F,Single,1,2880,46
Existing Customer,F,Single,2,4925,82
Existing Customer,M,Single,3,4259,80
Existing Customer,F,Divorced,1,3834,69
Existing Customer,M,Married,2,3595,65
Existing Customer,F,Unknown,1,3875,84
Existing Customer,F,Married,1,4878,84
Existing Customer,F,Married,3,4199,84
Existing Customer,F,Single,1,5163,73
Existing Customer,F,Divorced,2,5299,75
Existing Customer,F,Single,1,4348,77
Attrited Customer,F,Single,3,2473,49
Existing Customer,F,Single,1,4771,81
Attrited Customer,F,Married,2,2716,63
Existing Customer,F,Single,2,3703,61
Existing Customer,F,Married,3,4553,90
Existing Customer,F,Unknown,1,4317,81
Existing Customer,M,Married,3,3964,90
Existing Customer,F,Married,3,4286,71
Existing Customer,M,Single,2,4240,63
Existing Customer,F,Married,3,4425,79
Attrited Customer,F,Single,3,2380,43
Existing Customer,F,Married,3,4087,73
Attrited Customer,M,Single,3,2482,40
Attrited Customer,F,Single,3,2450,45
Existing Customer,F,Single,1,4088,66
Existing Customer,F,Unknown,2,4024,82
Attrited Customer,M,Unknown,3,2100,54
Existing Customer,F,Single,1,4482,54
Existing Customer,F,Divorced,2,4737,80
Attrited Customer,F,Single,3,2285,46
Existing Customer,F,Single,4,4339,82
Existing Customer,M,Married,2,4521,70
Attrited Customer,F,Married,3,2790,37
Existing Customer,F,Divorced,2,4823,64
Existing Customer,M,Single,2,4355,78
Existing Customer,F,Single,2,4724,71
Existing Customer,F,Single,1,4394,75
Existing Customer,M,Single,2,4425,83
Existing Customer,M,Single,3,5225,94
Attrited Customer,M,Married,4,2511,40
Attrited Customer,F,Unknown,3,2690,43
Existing Customer,M,Married,3,4787,60
Existing Customer,F,Single,2,4463,87
Existing Customer,M,Single,3,4238,55
Existing Customer,F,Married,3,5026,77
Existing Customer,F,Married,1,4778,65
Existing Customer,M,Divorced,1,3962,62
Existing Customer,F,Single,3,5000,79
Existing Customer,F,Single,1,4341,80
Existing Customer,M,Unknown,2,3895,87
Existing Customer,M,Married,3,4256,78
Attrited Customer,M,Single,3,1732,39
Existing Customer,F,Married,3,4210,75
Attrited Customer,M,Married,2,1789,38
Attrited Customer,F,Married,2,2300,45
Existing Customer,F,Single,2,5056,85
Existing Customer,F,Married,1,4452,65
Attrited Customer,M,Married,3,2223,47
Existing Customer,F,Unknown,3,4108,70
Existing Customer,F,Single,2,3603,59
Existing Customer,F,Single,1,4018,63
Existing Customer,M,Married,3,5219,86
Attrited Customer,M,Unknown,2,2451,38
Attrited Customer,F,Single,2,2935,58
Existing Customer,M,Single,2,4678,71
Existing Customer,M,Married,3,4480,80
Existing Customer,F,Single,3,4524,72
Existing Customer,F,Single,3,3705,69
Attrited Customer,M,Married,2,2505,43
Existing Customer,M,Married,3,3877,66
Existing Customer,F,Married,2,4491,75
Existing Customer,M,Single,5,4869,84
Existing Customer,F,Single,2,4735,83
Attrited Customer,M,Married,3,2439,43
Existing Customer,F,Married,1,5067,88
Attrited Customer,M,Married,2,1868,38
Existing Customer,M,Married,3,4284,74
Existing Customer,F,Single,2,5069,81
Existing Customer,F,Married,3,4593,72
Existing Customer,F,Married,3,4508,79
Existing Customer,F,Single,3,4779,83
Existing Customer,M,Single,2,4422,65
Existing Customer,F,Single,2,4209,76
Existing Customer,F,Married,1,3848,75
Attrited Customer,F,Married,3,2137,40
Existing Customer,F,Single,3,3440,46
Existing Customer,M,Divorced,2,4074,81
Existing Customer,F,Single,1,4549,70
Existing Customer,F,Married,3,4249,81
Existing Customer,F,Married,3,4661,85
Attrited Customer,M,Married,3,2216,51
Existing Customer,F,Single,1,4672,66
Existing Customer,F,Single,2,5037,84
Attrited Customer,F,Single,2,2345,36
Existing Customer,M,Single,2,4578,72
Attrited Customer,M,Single,2,2653,46
Existing Customer,M,Divorced,2,4572,90
Existing Customer,F,Married,2,4593,81
Existing Customer,M,Married,3,4488,92
Existing Customer,M,Single,3,3807,82
Existing Customer,M,Unknown,3,4221,83
Attrited Customer,F,Married,3,2507,53
Existing Customer,F,Unknown,3,5471,87
Attrited Customer,M,Married,3,2112,46
Existing Customer,F,Single,1,4424,81
Existing Customer,M,Married,3,4493,59
Existing Customer,F,Married,1,4775,61
Existing Customer,F,Single,3,3627,61
Attrited Customer,M,Single,3,2506,36
Existing Customer,F,Married,3,5051,64
Existing Customer,F,Single,3,4209,77
Existing Customer,F,Single,3,4143,67
Attrited Customer,F,Single,2,2275,43
Existing Customer,M,Single,2,4219,65
Existing Customer,F,Married,1,4204,63
Existing Customer,F,Married,3,4885,78
Attrited Customer,M,Married,2,1949,43
Existing Customer,F,Single,2,4883,73
Existing Customer,F,Married,3,4869,77
Existing Customer,F,Married,2,4949,76
Existing Customer,M,Married,3,4621,67
Existing Customer,F,Single,2,5112,86
Existing Customer,F,Single,3,3816,75
Existing Customer,M,Married,3,4498,85
Attrited Customer,F,Divorced,2,1883,44
Attrited Customer,F,Unknown,3,2494,39
Existing Customer,F,Married,2,4323,70
Attrited Customer,F,Unknown,1,2819,48
Existing Customer,F,Unknown,2,4037,69
Existing Customer,F,Single,1,4105,73
Attrited Customer,F,Single,2,1799,28
Existing Customer,F,Married,1,4456,70
Existing Customer,M,Married,1,3452,54
Attrited Customer,F,Married,3,2327,38
Existing Customer,M,Unknown,1,4088,66
Existing Customer,F,Single,3,4091,82
Existing Customer,M,Single,1,3819,72
Existing Customer,M,Married,1,3691,77
Existing Customer,F,Single,2,4951,85
Attrited Customer,F,Unknown,3,2227,44
Existing Customer,F,Single,2,4448,86
Existing Customer,F,Married,3,4622,73
Existing Customer,F,Married,2,4434,69
Existing Customer,M,Divorced,2,4780,84
Existing Customer,F,Single,2,4104,79
Existing Customer,F,Single,3,4983,86
Attrited Customer,F,Married,3,2196,35
Attrited Customer,F,Married,2,2725,41
Attrited Customer,F,Married,3,2431,46
Existing Customer,F,Married,6,4965,94
Existing Customer,F,Single,3,4693,66
Existing Customer,M,Single,3,4576,87
Existing Customer,F,Married,2,4416,68
Existing Customer,F,Unknown,1,4798,89
Existing Customer,F,Married,2,5029,86
Existing Customer,F,Unknown,2,4380,57
Existing Customer,F,Single,3,5025,84
Existing Customer,M,Married,3,4500,83
Existing Customer,F,Married,1,4828,90
Existing Customer,M,Married,3,4654,59
Existing Customer,F,Married,1,5429,71
Existing Customer,F,Married,2,5409,79
Attrited Customer,M,Single,2,2625,63
Existing Customer,F,Single,2,4813,78
Existing Customer,F,Single,2,4884,79
Existing Customer,F,Married,2,4348,90
Existing Customer,M,Unknown,3,4442,85
Existing Customer,M,Unknown,2,2659,55
Attrited Customer,M,Single,3,2395,47
Existing Customer,F,Married,2,3427,72
Existing Customer,F,Single,2,4694,84
Existing Customer,M,Single,1,3539,81
Attrited Customer,F,Married,2,2427,52
Existing Customer,F,Married,2,3942,78
Attrited Customer,F,Single,3,2520,38
Existing Customer,M,Married,1,4680,67
Existing Customer,F,Married,3,3485,72
Existing Customer,F,Divorced,3,4459,66
Existing Customer,M,Married,3,4203,76
Existing Customer,M,Divorced,1,4476,85
Existing Customer,F,Single,1,4611,82
Existing Customer,M,Single,2,4135,76
Attrited Customer,F,Married,4,2231,60
Existing Customer,M,Married,3,4899,84
Existing Customer,F,Single,2,4312,84
Existing Customer,F,Married,2,5104,87
Existing Customer,F,Married,2,4169,74
Attrited Customer,F,Divorced,2,2581,57
Existing Customer,M,Divorced,1,3763,74
Existing Customer,F,Unknown,2,4397,73
Existing Customer,M,Married,1,4086,62
Existing Customer,M,Divorced,1,4328,73
Attrited Customer,F,Single,3,2404,39
Attrited Customer,F,Single,2,2646,41
Existing Customer,F,Single,2,4665,82
Existing Customer,F,Married,2,4203,87
Attrited Customer,F,Married,2,2925,41
Attrited Customer,F,Single,2,2027,42
Existing Customer,F,Married,0,4840,85
Existing Customer,F,Single,3,5170,93
Existing Customer,F,Married,2,4183,67
Existing Customer,F,Single,2,4510,59
Existing Customer,M,Married,0,5046,77
Existing Customer,F,Single,3,4233,81
Attrited Customer,F,Single,2,2192,35
Existing Customer,F,Married,2,4740,83
Attrited Customer,F,Single,2,2181,43
Existing Customer,F,Unknown,2,4861,84
Attrited Customer,F,Single,1,2323,47
Existing Customer,M,Married,3,3228,82
Attrited Customer,F,Single,2,1890,43
Existing Customer,F,Divorced,1,4290,90
Attrited Customer,F,Married,3,1628,42
Existing Customer,M,Single,1,4040,76
Existing Customer,M,Married,1,3843,69
Existing Customer,F,Married,2,4542,73
Existing Customer,F,Married,3,4858,69
Existing Customer,M,Single,2,3830,82
Existing Customer,F,Married,1,4124,57
Attrited Customer,F,Single,3,1811,39
Attrited Customer,F,Single,3,2725,47
Existing Customer,F,Married,3,4418,80
Existing Customer,M,Married,3,5080,76
Existing Customer,F,Single,3,4629,58
Existing Customer,F,Single,3,4552,75
Existing Customer,M,Married,2,3477,78
Existing Customer,F,Married,3,4058,83
Existing Customer,M,Single,2,4064,65
Existing Customer,M,Married,3,4331,63
Attrited Customer,M,Divorced,4,2511,56
Attrited Customer,M,Unknown,4,2777,45
Existing Customer,F,Single,2,4776,85
Existing Customer,M,Married,1,4292,76
Existing Customer,M,Single,2,4106,78
Attrited Customer,M,Single,3,2536,45
Existing Customer,F,Single,1,4983,79
Existing Customer,F,Married,2,4870,83
Existing Customer,M,Married,2,4866,81
Existing Customer,M,Single,3,4160,84
Existing Customer,F,Single,1,4013,79
Existing Customer,M,Divorced,2,4686,67
Existing Customer,F,Single,3,3562,72
Existing Customer,F,Single,3,4366,68
